2, 0, 9, 1, 0, 
2, 1, 9, 2, 0, 
2, 2, 9, 2, 0, 
2, 3, 9, 3, 0, 
2, 4, 8, 3, 0, 
2, 5, 8, 3, 0, 
2, 6, 8, 4, 0, 
2, 7, 8, 3, 0, 
2, 8, 8, 3, 0, 
2, 9, 8, 4, 0, 
2, 10, 8, 5, 0, 
2, 11, 7, 5, 0, 
2, 12, 7, 6, 0, 
2, 13, 7, 6, 0, 
2, 14, 8, 6, 0, 
2, 15, 8, 6, 0, 
2, 16, 9, 6, 0, 
2, 17, 8, 6, 0, 
2, 18, 8, 6, 0, 
2, 19, 9, 6, 0, 
2, 20, 9, 6, 0, 
2, 21, 9, 5, 0, 
2, 22, 9, 5, 0, 
2, 23, 9, 4, 0, 
2, 24, 9, 3, 0, 
2, 25, 8, 3, 0, 
2, 26, 7, 3, 0, 
2, 27, 6, 3, 0, 
2, 28, 6, 3, 0, 
2, 29, 5, 3, 0, 
2, 30, 5, 3, 0, 
2, 31, 4, 3, 0, 
2, 32, 4, 3, 0, 
2, 33, 3, 3, 0, 
2, 34, 3, 3, 0, 
2, 35, 2, 3, 0, 
